185.246.138.0/23 AS9009 # ipv4.dump:14068018
208.91.107.0/24 AS35913 # ipv4.dump:5300217
186.249.165.0/24 AS53037 # ipv4.dump:7983539
200.54.108.0/24 AS52310 # ipv4.dump:5501190
209.71.160.0/20 AS46339 # ipv4.dump:17825415
142.52.146.0/24 AS852 # ipv4.dump:488513
212.128.116.0/23 AS200521 # ipv4.dump:13356568
186.178.15.0/24 AS28006 # ipv4.dump:9201526
2a01:9700:13a7::/48 AS8376 # ipv6.dump:1037828
172.105.134.0/23 AS63949 # ipv4.dump:15412112
78.130.228.0/24 AS9070 # ipv4.dump:12119994
118.126.140.0/23 AS23724 # ipv4.dump:7123714
24.94.32.0/19 AS11351 # ipv4.dump:1434597
142.234.32.0/21 AS7979 # ipv4.dump:7022111
2405:4800:2140::/46 AS18403 # ipv6.dump:2326297
200.113.215.0/24 AS27653 # ipv4.dump:3279416
45.167.190.0/23 AS268046 # ipv4.dump:2584658
198.137.70.0/24 AS10264 # ipv4.dump:3336467
200.13.36.0/24 AS28400 # ipv4.dump:3882782
64.69.220.0/24 AS55002 # ipv4.dump:18960871
209.49.229.0/24 AS395626 # ipv4.dump:14398115
87.249.76.0/22 AS15641 # ipv4.dump:9319161
2001:67c:206c::/48 AS49788 # ipv6.dump:1800452
2604:2d80:8000::/48 AS30036 # ipv6.dump:1982081
177.53.12.0/24 AS52989 # ipv4.dump:2090089
85.192.36.0/22 AS12695 # ipv4.dump:17606664
212.126.108.0/24 AS39216 # ipv4.dump:18478672
66.13.132.0/24 AS5650 # ipv4.dump:19204708
2400:3800:6000::/37 AS9617 # ipv6.dump:2204768
5.123.160.0/20 AS44244 # ipv4.dump:16376955
2600:2100:1b::/48 AS54858 # ipv6.dump:1944131
150.242.174.0/24 AS132453 # ipv4.dump:9808415
62.221.134.0/23 AS13124 # ipv4.dump:3496079
213.153.170.0/23 AS34984 # ipv4.dump:15953301
197.149.72.0/24 AS35074 # ipv4.dump:18530955
132.97.0.0/16 AS306 # ipv4.dump:19630592
212.138.180.0/24 AS209464 # ipv4.dump:6079946
103.251.30.0/24 AS58984 # ipv4.dump:18032160
74.221.64.0/20 AS29979 # ipv4.dump:20136686
185.116.176.0/22 AS204033 # ipv4.dump:19959133
40.248.252.0/24 AS4249 # ipv4.dump:9393294
103.78.50.0/24 AS135655 # ipv4.dump:12363962
67.209.219.0/24 AS20356 # ipv4.dump:2756256
214.72.0.0/24 AS27064 # ipv4.dump:6228044
188.38.127.0/24 AS15897 # ipv4.dump:827001
2a03:f080:1000::/48 AS42685 # ipv6.dump:1301509
95.140.24.0/21 AS48739 # ipv4.dump:10034325
84.39.111.0/24 AS48200 # ipv4.dump:20443864
63.163.108.0/23 AS26724 # ipv4.dump:19309425
24.197.96.0/24 AS20115 # ipv4.dump:14008635
184.181.24.0/21 AS22773 # ipv4.dump:3568675
156.0.224.0/21 AS328220 # ipv4.dump:9584679
